ControlContenedorId,FechaInicio,FechaFin,Usuario,UsuarioId,TiempoEstimadoMinutos,TiempoRealMinutos,TiempoEstimadoSegundos,TiempoRealSegundos,CumplioTiempo,Unidades,Articulos,CantidadConversion,TiempoEntreTareasMinutos,TiempoEntreTareasSegundos,CumplioTiempoEntreTareas,CodigoArticulo,DescripcionArticulo,UnidadesDetalle,CantidadConversionDetalle,FechaHoraLog
11878298,04/06/2026 06:09:21,04/06/2026 06:10:10,gkiriczuk,6409,00:02:44,00:00:49,164,49,En Tiempo,5,4,0,,,Excedido,"70-138         ",70-138 - BIDE C.CERAM CR VALENCIA PLUS,0,0,04/06/2026 09:10:10
11878298,04/06/2026 06:09:21,04/06/2026 06:10:10,gkiriczuk,6409,00:02:44,00:00:49,164,49,En Tiempo,10,4,0,,,Excedido,"60-057         ",60-057 - LAVATORIO C.STD VERIN PLUS,0,0,04/06/2026 09:10:10
11878298,04/06/2026 06:09:21,04/06/2026 06:10:10,gkiriczuk,6409,00:02:44,00:00:49,164,49,En Tiempo,10,4,0,,,Excedido,"51-057         ",51-057 - COCINA MESADA CR C.STD VERIN PLUS,0,0,04/06/2026 09:10:10
11878298,04/06/2026 06:09:21,04/06/2026 06:10:10,gkiriczuk,6409,00:02:44,00:00:49,164,49,En Tiempo,1,4,0,,,Excedido,"20-146N        ",20-146N - MONOCOMANDO DE COCINA BLACK LINEA MOVE,0,0,04/06/2026 09:10:10
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,20,10,0,,,Excedido,"80-023         ",80-023 - DUCHA EMB. C/TRANSF. BL/CR ARES PLUS,0,0,04/06/2026 09:14:57
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,10,10,0,,,Excedido,"70-023         ",70-023 - BIDE BL/CR ARES PLUS,0,0,04/06/2026 09:14:57
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,30,10,0,,,Excedido,"60-023         ",60-023 - LAVATORIO BL/CR ARES PLUS,0,0,04/06/2026 09:14:57
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,10,10,0,,,Excedido,"80-025         ",80-025 - DUCHA EMB.C/TRANSF.BL BASICA PLUS,0,0,04/06/2026 09:14:57
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,20,10,0,,,Excedido,"70-025         ",70-025 - BIDE BLANCO BASICA PLUS,0,0,04/06/2026 09:14:57
11878301,04/06/2026 06:11:45,04/06/2026 06:14:57,gsoderquvist,6415,00:03:58,00:03:12,238,192,En Tiempo,20,10,0,,,Excedido,"60-025         ",60-025 - LAVATORIO BLANCO BASICA PLUS,0,0,04/06/2026 09:14:57
