ControlContenedorId,FechaInicio,FechaFin,Usuario,UsuarioId,TiempoEstimadoMinutos,TiempoRealMinutos,TiempoEstimadoSegundos,TiempoRealSegundos,CumplioTiempo,Unidades,Articulos,CantidadConversion,TiempoEntreTareasMinutos,TiempoEntreTareasSegundos,CumplioTiempoEntreTareas,CodigoArticulo,DescripcionArticulo,UnidadesDetalle,CantidadConversionDetalle,FechaHoraLog
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,2,6,0,,,Excedido,"RA765          ",RA765 - BOLSITA P/CONEXION LAVATORIO LINEAS STD COMPLETO,0,0,06/01/2026 09:41:00
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,6,6,0,,,Excedido,"80-059         ",80-059 - DUCHA EMB. C/TRANSF.BL/CR C.STD MALBA,0,0,06/01/2026 09:41:00
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,6,6,0,,,Excedido,"60-059         ",60-059 - LAVATORIO BL/CR C.STD MALBA,0,0,06/01/2026 09:41:00
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,6,6,0,,,Excedido,"51-058         ",51-058 - COCINA MESADA CR C.STD MALBA,0,0,06/01/2026 09:41:00
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,8,6,0,,,Excedido,"20-160         ",20-160 - MONOCOMANDO MESADA COCINA DIQUE,0,0,06/01/2026 09:41:00
12552469,06/01/2026 06:36:32,06/01/2026 06:41:00,gsoderquvist,6415,00:02:54,00:04:28,174,268,Fuera de Tiempo,6,6,0,,,Excedido,"20-134         ",20-134 - MONOCOMANDO COCINA BETIS,0,0,06/01/2026 09:41:00
12552540,06/01/2026 06:57:07,06/01/2026 07:23:58,rodriguezt,6419,00:13:28,00:26:51,808,1611,Fuera de Tiempo,1,83,0,,,Excedido,"70-199N        ",70-199N - BIDE BLACK C.CERAM LIVE,0,0,06/01/2026 10:17:03
12552540,06/01/2026 06:57:07,06/01/2026 07:23:58,rodriguezt,6419,00:13:28,00:26:51,808,1611,Fuera de Tiempo,2,83,0,,,Excedido,"60-199N        ",60-199N - LAVATORIO BLACK C.CERAM LIVE,0,0,06/01/2026 10:17:03
12552540,06/01/2026 06:57:07,06/01/2026 07:23:58,rodriguezt,6419,00:13:28,00:26:51,808,1611,Fuera de Tiempo,1,83,0,,,Excedido,"70-199         ",70-199 - BIDE CR C.CERAM LIVE,0,0,06/01/2026 10:17:03
12552540,06/01/2026 06:57:07,06/01/2026 07:23:58,rodriguezt,6419,00:13:28,00:26:51,808,1611,Fuera de Tiempo,1,83,0,,,Excedido,"62-199         ",62-199 - LAVATORIO DE PARED CR C.CERAM LIVE,0,0,06/01/2026 10:17:03
