ControlContenedorId,FechaInicio,FechaFin,Usuario,UsuarioId,TiempoEstimadoMinutos,TiempoRealMinutos,TiempoEstimadoSegundos,TiempoRealSegundos,CumplioTiempo,Unidades,Articulos,CantidadConversion,TiempoEntreTareasMinutos,TiempoEntreTareasSegundos,CumplioTiempoEntreTareas,CodigoArticulo,DescripcionArticulo,UnidadesDetalle,CantidadConversionDetalle,FechaHoraLog
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"BCH09          ",BCH09 - BACHA DE APOYAR RECTANGULAR 610x410x115,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"BCH10          ",BCH10 - BACHA DE APOYAR NEGRO MATE 460x320x140,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,1,11,0,,,Excedido,"83-205         ",83-205 - DUCHA EXT C/TRANSF MONOC STEEL PICO CURVO,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,3,11,0,,,Excedido,"BAI01N         ",BAI01N - BACHA EMB COCINA C/ACCESORIOS 750x450x220 BLACK GUN BRUSHED,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,3,11,0,,,Excedido,"BAI01NI        ",BAI01NI - BACHA EMB COCINA C/ACCESORIOS 750x450x220 NICKEL BRUSHED,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,3,11,0,,,Excedido,"BAI01G         ",BAI01G - BACHA EMB COCINA C/ACCESORIOS 750x450x220 GOLD BRUSHED,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"20-182         ",20-182 - MONOCOMANDO DE COCINA MULTIFUNCION CR ZENITH,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"20-182N        ",20-182N - MONOCOMANDO DE COCINA MULTIFUNCION BLACK ZENITH,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"20-122         ",20-122 - MONOCOMANDO COCINA CR C/PICO EXTRAIBLE VALENCIA,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,2,11,0,,,Excedido,"80-152         ",80-152 - DUCHA EMB. CR C/TRANSF. MONOCOMANDO SORIA,0,0,03/02/2026 09:06:29
11481947,03/02/2026 06:04:15,03/02/2026 06:06:29,gsoderquvist,6415,00:02:16,00:02:14,136,134,En Tiempo,4,11,0,,,Excedido,"22-178N        ",22-178N - MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA BLACK,0,0,03/02/2026 09:06:29
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1330           ","1330 - QUEINOX MACHO MOVIL MH 1/2"" x 30",0,0,03/02/2026 09:19:18
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1330           ","1330 - QUEINOX MACHO MOVIL MH 1/2"" x 30",0,0,03/02/2026 09:20:00
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1330           ","1330 - QUEINOX MACHO MOVIL MH 1/2"" x 30",0,0,03/02/2026 09:20:12
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1330           ","1330 - QUEINOX MACHO MOVIL MH 1/2"" x 30",0,0,03/02/2026 09:20:24
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1925           ","1925 - QUEINOX MH 3/4"" x 25",0,0,03/02/2026 09:20:43
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1325           ","1325 - QUEINOX MACHO MOVIL MH 1/2"" x 25",0,0,03/02/2026 09:21:08
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,50,4,0,00:10:16,616,Excedido,"1325           ","1325 - QUEINOX MACHO MOVIL MH 1/2"" x 25",0,0,03/02/2026 09:21:19
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,30,4,0,00:10:16,616,Excedido,"1925           ","1925 - QUEINOX MH 3/4"" x 25",0,0,03/02/2026 09:24:01
11481968,03/02/2026 06:16:45,03/02/2026 06:25:27,gsoderquvist,6415,00:01:39,00:08:42,99,522,Fuera de Tiempo,30,4,0,00:10:16,616,Excedido,"1320           ","1320 - QUEINOX MACHO MOVIL MH 1/2"" x 20",0,0,03/02/2026 09:25:27
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,10,21,0,,,Excedido,"RA001          ",RA001 - CABEZAL STD NO ASCENDENTE,0,0,03/02/2026 09:27:21
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,6,21,0,,,Excedido,"83-133         ",83-133 - DUCHA EXT. C/TRANSF. MONOCOMANDO LUGO,0,0,03/02/2026 09:30:13
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,6,21,0,,,Excedido,"60-133         ",60-133 - LAVATORIO MONOCOMANDO LUGO,0,0,03/02/2026 09:30:52
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,2,21,0,,,Excedido,"BCH01          ",BCH01 - BACHA DE APOYAR CIRCULAR 320x145,0,0,03/02/2026 09:32:03
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,12,21,0,,,Excedido,"33-010         ",33-010 - CANILLA MESADA BL/CR LORCA,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,2,21,0,,,Excedido,"20-135         ",20-135 - MONOCOMANDO COCINA SANTANDER,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,1,21,0,,,Excedido,"60-133         ",60-133 - LAVATORIO MONOCOMANDO LUGO,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,4,21,0,,,Excedido,"61-180         ",61-180 - LAVATORIO MONOCOMANDO ALTO VERA,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,3,21,0,,,Excedido,"61-152         ",61-152 - LAVATORIO MONOCOMANDO CROMO ALTO SORIA,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,2,21,0,,,Excedido,"20-162         ",20-162 - MONOCOMANDO COCINA ADRA,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,2,21,0,,,Excedido,"20-172         ",20-172 - COCINA MESADA MONOC. COLORS NEGRO,0,0,03/02/2026 09:36:48
11481992,03/02/2026 06:23:45,03/02/2026 06:38:35,ascirica,6414,00:04:58,00:14:50,298,890,Fuera de Tiempo,2,21,0,,,Excedido,"60-162         ",60-162 - LAVATORIO CR C.CERAM LINEA ADRA,0,0,03/02/2026 09:36:48
