ControlContenedorId,FechaInicio,FechaFin,Usuario,UsuarioId,TiempoEstimadoMinutos,TiempoRealMinutos,TiempoEstimadoSegundos,TiempoRealSegundos,CumplioTiempo,Unidades,Articulos,CantidadConversion,TiempoEntreTareasMinutos,TiempoEntreTareasSegundos,CumplioTiempoEntreTareas,CodigoArticulo,DescripcionArticulo,UnidadesDetalle,CantidadConversionDetalle,FechaHoraLog
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"62-162         ",62-162 - LAVATORIO DE PARED CR C.CERAM ADRA,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,20,52,0,,,Excedido,"90-166N        ",90-166N - PACK GRIF. ADRA BLACK PLUS  (Lav-Bide-Ducha c/t Plus),0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"62-162N        ",62-162N - LAVATORIO DE PARED BLACK C.CERAM ADRA,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,20,52,0,,,Excedido,"60-203         ",60-203 - LAVATORIO MONOCOMANDO BAJO ADRA,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"80-329         ",80-329 - DUCHA DE EMB 3 FUNCIONES CASTILLA,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,2,52,0,,,Excedido,"85-201NI       ",85-201NI - DUCHA EMB C/TRANSF Y DUCHADOR C.CERAM BEAT NICKEL,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"70-201NI       ",70-201NI - BIDE CR C.CERAM BEAT NICKEL,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"70-199         ",70-199 - BIDE CR C.CERAM LIVE,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,1,52,0,,,Excedido,"80-175DG       ",80-175DG - DUCHA EMB C/TRANSF. PULSE DARK GOLD C.CERAM,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,1,52,0,,,Excedido,"70-175GR       ",70-175GR - BIDE PULSE GRAFITO C.CERAM,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,1,52,0,,,Excedido,"80-175GR       ",80-175GR - DUCHA EMB C/TRANSF. PULSE GRAFITO C.CERAM,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"90-166         ",90-166 - PACK GRIF. ADRA PLUS (Lav-Bide-Ducha c/t Plus),0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,40,52,0,,,Excedido,"910/M          ","910/M - JGO.MDA.P.CANO CROMO ""DIQUE""",0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"63-180         ",63-180 - LAVATORIO MONOC. DE PARED VERA,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"80-168         ",80-168 - DUCHA EMB C/TRANSF MONOC CR WAVE,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"80-168N        ",80-168N - DUCHA EMB C/TRANSF MONOC BLACK WAVE,0,0,05/04/2026 09:30:12
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,20,52,0,,,Excedido,"80-166N        ",80-166N - DUCHA EMB. C/TRANSF. BLACK C.CERAM ADRA PLUS,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"52-121         ",52-121 - GRIFERIA REBATIBLE P/LLENADO DE OLLAS MARBELLA,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"80-192         ",80-192 - DUCHA EMB. C/TRANSF. SORIA BLACK,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"60-168N        ",60-168N - LAVATORIO MONOC BAJO BLACK WAVE,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"20-180         ",20-180 - MONOCOMANDO VERA COLORS,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"61-180         ",61-180 - LAVATORIO MONOCOMANDO ALTO VERA,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"83-176N        ",83-176N - DUCHA EXT. C/TRANSF. MONOC BLACK RIO,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"80-176         ",80-176 - DUCHA EMB C/TRANSF MONOC CR RIO,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"61-176         ",61-176 - LAVATORIO MONOC ALTO CR RIO,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"70-176         ",70-176 - BIDE MONOC C/TRANSF CR RIO,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"20-135G        ",20-135G - MONOCOMANDO COCINA GOLD SANTANDER,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,20,52,0,,,Excedido,"20-135         ",20-135 - MONOCOMANDO COCINA SANTANDER,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,10,52,0,,,Excedido,"60-168         ",60-168 - LAVATORIO MONOC BAJO CR WAVE,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"61-168         ",61-168 - LAVATORIO MONOC ALTO CR WAVE,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,5,52,0,,,Excedido,"61-168N        ",61-168N - LAVATORIO MONOC ALTO BLACK WAVE,0,0,05/04/2026 10:30:30
12206725,05/04/2026 06:20:47,05/04/2026 08:50:00,gsoderquvist,6415,00:13:29,02:29:13,809,8953,Fuera de Tiempo,30,52,0,,,Excedido,"60-176         ",60-176 - LAVATORIO MONOC BAJO CR RIO,0,0,05/04/2026 10:30:30
