Id;FechaHoraEstado;PreparacionEstado;PreparacionTipo;PedidoCodigos;DespachoCodigo;DespachoDescripcion;ClienteId;Codigo;Cliente;Domicilio;ArticuloId;CodigoArticulo;Articulo;Unidades;UnidadesReservada;UnidadesSatisfecha;ContenedorId;Contenedor;ContenedorDetalleId;Lote;Serie;PesoDeclarado;FechaVencimiento;ContenedorUnidades;ControlContenedorId;ControlContenedorFechaHoraEstado;ControlContenedorUsuarioNombre;ControlContenedorUsuarioApellido;TareaId;TareaFechaHoraEstado;TareaUsuarioId;TareaUsuarioNombre;TareaUsuarioApellido;ControlContenedorUsuarioCompleto;TareaUsuarioCompleto
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954921;BCH18          ;BCH18 - BACHA DE APOYAR SIMIL MARMOL 460x320x140;3;3;3;22321752;3,08261E+13;175631184;;;;10/4/2031 00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954915;BCH13          ;BCH13 - BACHA DE APOYAR BLANCA RECTANGULAR 465x260x125;3;3;3;22321752;3,08261E+13;175630426;;;;07/27/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954913;BCH11N         ;BCH11N - BACHA DE APOYAR REDONDA NEGRO MATE 400x400x125;3;3;3;22321752;3,08261E+13;175630978;;;;07/28/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954910;BCH09          ;BCH09 - BACHA DE APOYAR RECTANGULAR 610x410x115;3;3;3;22321752;3,08261E+13;175632558;;;;07/28/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954908;BCH07          ;BCH07 - BACHA DE APOYAR OVALADA 400x330x150;3;3;3;22321752;3,08261E+13;175631681;;;;07/29/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954901;BCH01          ;BCH01 - BACHA DE APOYAR CIRCULAR 320x145;3;3;3;22321752;3,08261E+13;175631416;;;;07/28/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;954885;BAI01NI        ;BAI01NI - BACHA EMB COCINA C/ACCESORIOS 750x450x220 NICKEL BRUSHED;3;3;3;22321752;3,08261E+13;175630016;;;;09/28/2031 00:00:00;3;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;952452;51-122         ;51-122 - MESADA BIMANDO CR C.CERAM VALENCIA;2;2;2;22321752;3,08261E+13;175626308;;;;12/2/2031 00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951833;30-132         ;30-132 - COCINA MESADA MONOC. C/DUCHADOR EXTENSIBLE VIGO;2;2;2;22321752;3,08261E+13;175619112;;;;07/28/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951653;22-178         ;22-178 - MONOCOMANDO DE COCINA P/AGUA FILTRADA VITA;2;2;2;22321752;3,08261E+13;175623093;;;;12/23/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951551;20-182N        ;20-182N - MONOCOMANDO DE COCINA MULTIFUNCION BLACK ZENITH;2;2;2;22321752;3,08261E+13;175620647;;;;07/29/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951562;20-202N        ;20-202N - MONOCOMANDO COCINA BLACK HOOP;2;2;2;22321752;3,08261E+13;175618581;;;;07/27/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951561;20-201NI       ;20-201NI - COCINA MONOCOMANDO JOYSTICK BEAT NICKEL;2;2;2;22321752;3,08261E+13;175619514;;;;07/28/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951552;20-183         ;MONOCOMANDO DE COCINA MAT                                             ;2;2;2;22321752;3,08261E+13;175622505;;;;11/2/2031 00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
13571265;3/8/2026 09:31;3;2;0001  211573-1;25;PEDIDOS + EXHIBIDOR;2399637;GA35    ;GAVILAN S.R.L.                                    ;BARTOLO PASIN 554;951550;20-182         ;20-182 - MONOCOMANDO DE COCINA MULTIFUNCION CR ZENITH;2;2;2;22321752;3,08261E+13;175621187;;;;07/30/2031 00:00:00;2;13352428;3/8/2026 09:31;Andres;Cejas;23630028;3/8/2026 08:47;7152;Mirko;Hernandez;Andres Cejas;Mirko Hernandez
