Id;FechaHoraEstado;PreparacionEstado;PreparacionTipo;PedidoCodigos;DespachoCodigo;DespachoDescripcion;ClienteId;Codigo;Cliente;Domicilio;ArticuloId;CodigoArticulo;Articulo;Unidades;UnidadesReservada;UnidadesSatisfecha;ContenedorId;Contenedor;ContenedorDetalleId;Lote;Serie;PesoDeclarado;FechaVencimiento;ContenedorUnidades;ControlContenedorId;ControlContenedorFechaHoraEstado;ControlContenedorUsuarioNombre;ControlContenedorUsuarioApellido;TareaId;TareaFechaHoraEstado;TareaUsuarioId;TareaUsuarioNombre;TareaUsuarioApellido;ControlContenedorUsuarioCompleto;TareaUsuarioCompleto
14078464;05/09/2026 09:26:04;3;2;0001  214624-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV SAN MARTIN 420;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";32;32;32;23175530;050926091844693;182022026;;;;10/16/2031 00:00:00;9;13832227;05/09/2026 09:18:44;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078464;05/09/2026 09:26:04;3;2;0001  214624-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV SAN MARTIN 420;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";32;32;32;23175535;050926091855596;182022058;;;;10/16/2031 00:00:00;9;13832230;05/09/2026 09:18:55;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078464;05/09/2026 09:26:04;3;2;0001  214624-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV SAN MARTIN 420;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";32;32;32;23175631;050926092516128;182023032;;;;10/16/2031 00:00:00;8;13832293;05/09/2026 09:25:16;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078464;05/09/2026 09:26:04;3;2;0001  214624-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV SAN MARTIN 420;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";32;32;32;23175636;050926092532896;180756646;;;;10/16/2031 00:00:00;6;13832298;05/09/2026 09:25:32;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078464;05/09/2026 09:26:04;3;2;0001  214624-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV SAN MARTIN 420;956414;"INO103-2       ";"DEPOSITO C/DESCARGA DUAL BLANCO LINEA URBAN                           ";32;32;32;23004495;050926092559979;180756725;;;;10/16/2031 00:00:00;32;13832224;05/09/2026 09:25:59;Tiago;Rodriguez;24287301;31/08/2026 07:00:57;7152;Mirko;Hernandez;Tiago Rodriguez;Mirko Hernandez
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23004318;050926102152995;180755103;;;;10/16/2031 00:00:00;3;13833019;05/09/2026 10:21:52;Tiago;Rodriguez;24286939;31/08/2026 06:59:03;6414;Agustin;Scirica;Tiago Rodriguez;Agustin Scirica
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23176695;050926101950587;182031639;;;;10/16/2031 00:00:00;9;13833023;05/09/2026 10:19:50;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23176700;050926102004736;182031674;;;;10/16/2031 00:00:00;9;13833029;05/09/2026 10:20:04;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23176702;050926102016016;182031706;;;;10/16/2031 00:00:00;9;13833031;05/09/2026 10:20:16;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23176704;050926102026325;182031738;;;;10/16/2031 00:00:00;9;13833032;05/09/2026 10:20:26;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
14078466;05/09/2026 10:21:53;3;2;0001  214626-1;05;FALABELL LOZA;2092387;"FA20    ";"FALABELLA S.A.                                    ";AV LIBERTADOR 77;956413;"INO103-1       ";"INODORO BLANCO C/ASIENTO LINEA URBAN                                  ";48;48;48;23176710;050926102037270;182031760;;;;10/16/2031 00:00:00;9;13833036;05/09/2026 10:20:37;Tiago;Rodriguez;;;;;;Tiago Rodriguez;
