AreaDescripcion;Ubicacion;Fabricante;ArticuloCodigo;ArticuloDescripcion;Lote;FechaVencimiento;Días al vencimiento ;Cantidad;ContenedorNumero;EstadoDescripcion;Bultos;UnidadesSueltas;Critico
PREPARACION;PRE-001-001-001;;10005BL        ;SET DE 5 PIEZAS LINEA 10000 BLACK                                     ;;28/7/2031;1805;10;CARRO96;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;11050;JABONERA LINEA 11000                                                  ;;28/7/2031;1805;16;CARRO96;Activo;0;16;NO
PREPARACION;PRE-001-001-001;;12005;SET DE 5 PIEZAS LINEA 12000                                           ;;30/7/2031;1807;30;CARRO96;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;16030;16030 - PERCHA LINEA 16000;;27/7/2031;1804;50;CARRO24;Activo;0;50;NO
PREPARACION;PRE-001-001-001;;16040;16040 - PORTA ROLLO ACCESORIOS LINEA 16000;;30/7/2031;1807;30;CARRO24;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;17010N         ;17010N - TOALLERO BARRAL LINEA FABRIC BLACK;;29/7/2031;1806;10;CARRO24;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;17020N         ;17020N - TOALLERO DE ARO LINEA FABRIC BLACK;;29/7/2031;1806;20;CARRO24;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;19010;19010 - TOALLERO BARRAL LINEA 19000;;30/7/2031;1807;6;CARRO42;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;19020;19020 - TOALLERO DE ARO LINEA 19000;;29/7/2031;1806;6;CARRO42;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;19030;19030 - PERCHA LINEA 19000;;29/7/2031;1806;12;CARRO42;Activo;0;12;NO
PREPARACION;PRE-001-001-001;;19050;19050 - JABONERA LINEA 19000;;10/11/2031;1910;12;CARRO80;Activo;0;12;NO
PREPARACION;PRE-001-001-001;;20-121         ;20-121 - COCINA MSDA MONOC.P. REDONDO MARBELLA;;30/7/2031;1807;15;CARRO26;Activo;0;15;NO
PREPARACION;PRE-001-001-001;;20-122N        ;20-122N - MONOCOMANDO COCINA C/PICO EXTRAIBLE VALENCIA BLACK;;6/8/2031;1814;4;CARRO8;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;20-134         ;20-134 - MONOCOMANDO COCINA BETIS;;11/8/2031;1819;10;CARRO69;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;20-140         ;20-140 - MONOCOMANDO DE COCINA LINEA CUINA;;7/10/2031;1876;10;CARRO96;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;20-140N        ;20-140N - MONOCOMANDO DE COCINA LINEA CUINA BLACK;;29/7/2031;1806;10;CARRO80;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;20-160         ;20-160 - MONOCOMANDO MESADA COCINA DIQUE;;28/7/2031;1805;48;CARRO69;Activo;0;48;NO
PREPARACION;PRE-001-001-001;;20-160         ;20-160 - MONOCOMANDO MESADA COCINA DIQUE;;28/7/2031;1805;8;CARRO8;Activo;0;8;NO
PREPARACION;PRE-001-001-001;;20-162         ;20-162 - MONOCOMANDO COCINA ADRA;;28/7/2031;1805;30;CARRO24;Activo;0;30;NO
