PedidoId;Codigo;CodigoDespacho;CodigoDeEnvio;ServicioDeEnvioTipo;Estado;Importe;Fecha;FechaEstimadaEntrega;OrdenPreparacion;PreparacionID;TipoPreparacion;PreparacionEstado;DespachoId;DespachoDescripcion;ClienteID;ClienteCodigo;ClienteDescripcion;Domicilio;Localidad;Provincia;tags
46003775;0001  213461-1;04010004;;Propio;Pendiente;357692;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2094299;"SA40    ";"SANICENTRO S.A. SANITARIOS                        ";CALLE 122 (RUTA 11) E/59 Y 60 1286;LA PLATA;BUENOS AIRES;
46003780;0001  213462-1;05010001;;Propio;Pendiente;132428;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2092674;"GF09    ";"GILLI FAUDIN LUIS V. -GILCOMAT                    ";9 DE JULIO 3537;SANTA FE;SANTA FE;
46003781;0001  213463-1;05010001;;Propio;Pendiente;430879;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2091837;"CO22    ";"COPMACO LTDA.                                     ";BV. ESPAÑA 935;VILLA MARIA;CORDOBA;
46003782;0001  213464-1;05010001;;Propio;Pendiente;10272748;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2091837;"CO22    ";"COPMACO LTDA.                                     ";AV. CIRCUNVALACION 4660;CORDOBA;CORDOBA;
46003783;0001  213465-1;05010001;;Propio;Pendiente;672464;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2091837;"CO22    ";"COPMACO LTDA.                                     ";AV. CIRCUNVALACION 4660;CORDOBA;CORDOBA;
46005148;TR 0000   87048;;;Propio;Eliminado;0;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2090876;DEP_20;LOGISTICA INTERNA (DEP 20);.;.;.;
46013701;0001  213421-2;05010001;;Propio;Pendiente;651143;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2092262;"ED04    ";"EDIFICOR S.R.L.                                   ";AV. LOS MOLDAVOS 3131;LOS BOULEVARES;CORDOBA;
46013702;0001  213424-2;05010001;;Propio;Pendiente;159826;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2092262;"ED04    ";"EDIFICOR S.R.L.                                   ";AV. LOS MOLDAVOS 3131;LOS BOULEVARES;CORDOBA;
46002506;0001  213430-1;05010001;;Propio;Pendiente;2112436;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2093175;"LE17    ";"LEICKER S.R.L. -REVESTIMIENTOS VALLE MARIA        ";MARIENTHAL 770;VALLE MARIA;ENTRE RIOS;
46013703;0001  213467-1;05010001;;Propio;Pendiente;1070478;10/8/2026 00:00:00 +00:00;11/8/2026 00:00:00 +00:00;0;;;;;;2093326;"MA40    ";"MAQUI S.A.                                        ";MITRE 550;SAN RAFAEL;MENDOZA;
46013704;0001  213468-1;04010006;;Propio;Pendiente;252221;10/8/2026 00:00:00 +00:00;11/8/2026 00:00:00 +00:00;0;;;;;;2091610;"CE23    ";"CEFALU S.A.                                       ";AV. CARLOS PELLEGRINI ESQ. AV LA PLATA 1901;QUILMES;BUENOS AIRES;
46013706;0001  213469-1;05010001;;Propio;Pendiente;99917;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2091837;"CO22    ";"COPMACO LTDA.                                     ";BALLESTRINI 236;ETRURIA;CORDOBA;
46013707;0001  213470-1;05010001;;Propio;Pendiente;314553;10/8/2026 00:00:00 +00:00;10/8/2026 00:00:00 +00:00;0;;;;;;2091837;"CO22    ";"COPMACO LTDA.                                     ";CALLE 5 63;NOETINGER;CORDOBA;
