Contenedor,Ubicacion,FechaUbicacion,Usuario
190926002259003,D001,21/09/2026 14:18:18,Tablet Despacho
190926002238637,D001,21/09/2026 14:18:18,Tablet Despacho
190926085133710,D001,21/09/2026 14:18:18,Tablet Despacho
190926085204686,D001,21/09/2026 14:18:18,Tablet Despacho
190926085431379,D001,21/09/2026 14:18:18,Tablet Despacho
190926085608475,D001,21/09/2026 14:18:18,Tablet Despacho
190926085643592,D001,21/09/2026 14:18:18,Tablet Despacho
190926085722334,D001,21/09/2026 14:18:18,Tablet Despacho
190926090326027,D001,21/09/2026 14:18:18,Tablet Despacho
190926090823411,D001,21/09/2026 14:18:18,Tablet Despacho
190926090847894,D001,21/09/2026 14:18:18,Tablet Despacho
190926091202684,D001,21/09/2026 14:18:18,Tablet Despacho
190926091310667,D001,21/09/2026 14:18:18,Tablet Despacho
190926091415229,D001,21/09/2026 14:18:18,Tablet Despacho
190926091540987,D001,21/09/2026 14:18:18,Tablet Despacho
190926091607314,D001,21/09/2026 14:18:18,Tablet Despacho
190926091712193,D001,21/09/2026 14:18:18,Tablet Despacho
190926091749591,D001,21/09/2026 14:18:18,Tablet Despacho
190926091925846,D001,21/09/2026 14:18:18,Tablet Despacho
190926003336308,D002,21/09/2026 14:21:48,Tablet Despacho
190926003532753,D002,21/09/2026 14:21:48,Tablet Despacho
190926001348692,D002,21/09/2026 14:21:48,Tablet Despacho
190926001602497,D002,21/09/2026 14:21:48,Tablet Despacho
190926002018636,D002,21/09/2026 14:21:48,Tablet Despacho
190926000733023,D002,21/09/2026 14:21:48,Tablet Despacho
190926000724498,D002,21/09/2026 14:21:48,Tablet Despacho
180926235622881,D002,21/09/2026 14:21:48,Tablet Despacho
180926235640140,D002,21/09/2026 14:21:48,Tablet Despacho
180926235725988,D002,21/09/2026 14:21:48,Tablet Despacho
180926235838771,D002,21/09/2026 14:21:48,Tablet Despacho
190926000924707,D002,21/09/2026 14:21:48,Tablet Despacho
180926235209891,D002,21/09/2026 14:21:48,Tablet Despacho
180926235238326,D002,21/09/2026 14:21:48,Tablet Despacho
180926235338294,D002,21/09/2026 14:21:48,Tablet Despacho
180926235941879,D002,21/09/2026 14:21:48,Tablet Despacho
190926000055104,D002,21/09/2026 14:21:48,Tablet Despacho
190926000250242,D002,21/09/2026 14:21:48,Tablet Despacho
190926000428753,D002,21/09/2026 14:21:48,Tablet Despacho
190926000638435,D002,21/09/2026 14:21:48,Tablet Despacho
170926095738114,D003,21/09/2026 14:34:51,Tablet Despacho
170926095837320,D004,21/09/2026 14:35:43,Tablet Despacho
170926095942620,D005,21/09/2026 14:36:25,Tablet Despacho
170926100102011,D006,21/09/2026 14:37:06,Tablet Despacho
170926100400791,D007,21/09/2026 14:37:45,Tablet Despacho
170926100440772,D008,21/09/2026 14:38:30,Tablet Despacho
170926100539027,D009,21/09/2026 14:40:02,Tablet Despacho
170926100628525,D009,21/09/2026 14:40:02,Tablet Despacho
170926100742141,D009,21/09/2026 14:40:02,Tablet Despacho
170926101042368,D009,21/09/2026 14:40:02,Tablet Despacho
170926102420571,D009,21/09/2026 14:40:02,Tablet Despacho
170926102503906,D009,21/09/2026 14:40:02,Tablet Despacho
